,unique.code,S_C,S_SC,S_L,S_S,longitude,latitude,year,season,Argentina.sialis,Aristostomias.scintillans,Bathophilus.flemingi,Bathylagoides.wesethi,Bathylagus.pacificus,Brosmophycis.marginata,Ceratoscopelus.townsendi,Chauliodus.macouni,Chromis.punctipinnis,Cololabis.saira,Diogenichthys.atlanticus,Diogenichthys.laternatus,Electrona.risso,Embassichthys.bathybius,Engraulis.mordax,Girella.nigricans,Glyptocephalus.zachirus,Hemilepidotus.spinosus,Hippoglossina.stomata,Hypsypops.rubicundus,Icichthys.lockingtoni,Idiacanthus.antrostomus,Lampadena.urophaos,Leuroglossus.stilbius,Lipolagus.ochotensis,Loweina.rara,Lyopsetta.exilis,Medialuna.californiensis,Merluccius.productus,Microstoma,Microstomus.pacificus,Nansenia.candida,Nansenia.crassa,Notolychnus.valdiviae,Notoscopelus.resplendens,Ophiodon.elongatus,Oxylebius.pictus,Paralichthys.californicus,Parophrys.vetulus,Peprilus.simillimus,Pleuronichthys.coenosus,Pleuronichthys.decurrens,Pleuronichthys.verticalis,Protomyctophum.crockeri,Psettichthys.melanostictus,Pseudobathylagus.milleri,Sardinops.sagax,Scomber.japonicus,Scorpaenichthys.marmoratus,Sebastes.aurora,Sebastes.diploproa,Sebastes.goodei,Sebastes.jordani,Sebastes.levis,Sebastes.paucispinis,Seriola.lalandi,Sphyraena.argentea,Stenobrachius.leucopsarus,Stomias.atriventer,Symbolophorus.californiensis,Symbolophorus.evermanni,Symphurus.atricaudus,Tactostoma.macropus,Tarletonbeania.crenularis,Tetragonurus.cuvieri,Trachurus.symmetricus,Triphoturus.mexicanus,Zoarcoidei,Anguilliformes1,Gonostomatidae1,Sternoptychidae1,Vinciguerria1,Scopelarchidae1,Paralepididae1,Myctophum1,Diaphus1,Nannobrachium1,Hygophum1,Macrouridae1,Ophidiiformes1,Lampridiformes1,Melamphaidae1,Syngnathus1,Sebastes1,Scorpaena1,Sebastolobus1,Cottidae1,Agonidae1,Cyclopteridae1,Paralabrax1,Sciaenidae1,Labridae1,Chiasmodon1,Clinidae1,Hypsoblennius1,Gobiidae1,Citharichthys1,Pleuronichthys1,Gempylidae1
11872,83.3 51 2304 SH,2304,SH,83.3,51,-120.1316667,33.87833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.13,0,0,0,0,0,0,0,0,163.6,0,0,28.63,0,53.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,4.09,0,0,8.18,4.09,4.09,0,0,53.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.24,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
11873,83.3 55 2304 SH,2304,SH,83.3,55,-120.41,33.745,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268.82,0,0,0,0,0,0,0,0,228.96,19.08,0,0,0,95.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,9.54,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11874,83.3 60 2304 SH,2304,SH,83.3,60,-120.7616667,33.57666667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942.72,0,0,0,0,0,0,0,0,93.4,18.68,0,0,0,18.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,0,0,0,0,0,0,0,0,0,0,0,0,0,130.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11875,83.3 70 2304 SH,2304,SH,83.3,70,-121.4416667,33.245,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977.777778,0,0,0,0,0,0,0,0,59.25925926,0,0,0,0,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81481481,0,0,0,0,0,0,0,0,0,0,0,0,14.81481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11876,83.3 80 2304 SH,2304,SH,83.3,80,-122.1266667,32.91,2023,spring,0,0,0,0,0,0,0,15.23076923,0,0,0,0,0,0,228.4615385,0,0,0,0,0,0,0,0,106.6153846,30.46153846,0,0,0,45.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.46153846,0,0,0,0,0,0,0,0,0,0,0,0,0,45.69230769,0,15.23076923,0,0,0,0,0,0,0,0,0,0,0,0,15.23076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11877,83.3 90 2304 SH,2304,SH,83.3,90,-122.81,32.57833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.72,0,0,0,0,0,0,0,0,168.8,0,0,0,0,0,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.76,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88,16.88,0,0,0,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11868,83.3 100 2304 SH,2304,SH,83.3,100,-123.5,32.23833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,17.76,17.76,0,0,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11878,83.6 51.5 2304 SH,2304,SH,83.6,51.5,-120.1333333,33.80833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.88,0,0,0,0,0,0,0,0,241.92,8.96,0,17.92,0,62.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44,0,0,4.48,0,0,0,8.96,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.32,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0
11879,84 41.7 2304 SH,2304,SH,84,41.7,-119.4066667,34.06166667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11880,84.5 43.5 2304 SH,2304,SH,84.5,43.5,-119.475,33.92166667,2023,spring,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,1217.05,0,0,0,0,0,0,0,0,166.65,5.05,0,40.4,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11881,85.4 35.8 2304 SH,2304,SH,85.4,35.8,-118.8383333,34.01,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11884,86.7 33 2304 SH,2304,SH,86.7,33,-118.4916667,33.89166667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,3.58,0,0,0,0,0,3.58,0,0
11885,86.7 35 2304 SH,2304,SH,86.7,35,-118.6283333,33.82,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.16,0,0,0,4.56,0,0,0,0,282.72,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11886,86.7 40 2304 SH,2304,SH,86.7,40,-118.9716667,33.65833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543.93,0,0,0,0,0,0,0,0,339.69,10.14,0,0,0,55.77,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,20.28,0,0,0,0,0,15.21,15.21,10.14,0,0,76.05,10.14,0,0,0,0,0,0,5.07,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,572.91,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0
11887,86.7 45 2304 SH,2304,SH,86.7,45,-119.3183333,33.485,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3277.73913,0,0,0,0,0,0,0,0,200.5,8.717391304,0,0,0,104.6086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43478261,0,0,113.326087,0,0,0,0,0,0,0,0,0,0,104.6086957,8.717391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11888,86.7 50 2304 SH,2304,SH,86.7,50,-119.6633333,33.32,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.86,0,0,0,0,0,0,0,0,3.57,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.41,0,0,0,0,0,7.14,3.57,7.14,0,0,24.99,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,535.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11889,86.7 55 2304 SH,2304,SH,86.7,55,-120.0066667,33.15666667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.72,0,0,0,0,0,0,0,0,448.92,30.96,0,0,0,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,5.16,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0,0,0,0,0,41.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11890,86.7 60 2304 SH,2304,SH,86.7,60,-120.3483333,32.99,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.75,0,0,0,0,0,0,0,0,349.1666667,87.29166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45833333,34.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11891,86.7 70 2304 SH,2304,SH,86.7,70,-121.0316667,32.65666667,2023,spring,0,0,0,15,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,405,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11892,86.7 80 2304 SH,2304,SH,86.7,80,-121.7133333,32.32166667,2023,spring,0,0,0,0,0,0,0,0,0,0,9.693877551,0,0,0,4032.653061,0,0,0,0,0,0,0,0,242.3469388,164.7959184,0,0,0,116.3265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.693877551,0,0,0,0,0,0,0,0,0,0,9.693877551,0,0,0,0,0,9.693877551,0,116.3265306,0,0,0,9.693877551,0,0,0,9.693877551,0,0,19.3877551,0,0,0,0,9.693877551,0,0,0,9.693877551,0,0,0,0,0,0,0,0,0,0,0,0,0
11893,86.7 90 2304 SH,2304,SH,86.7,90,-122.3916667,31.99,2023,spring,0,0,0,26.96774194,0,0,0,0,0,0,13.48387097,0,0,0,768.5806452,0,0,0,0,0,0,0,0,148.3225806,80.90322581,13.48387097,0,0,13.48387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48387097,0,0,13.48387097,0,0,0,0,0,0,0,0,0,0,26.96774194,0,0,0,0,0,0,0,0,0,0,0,0,13.48387097,0,0,13.48387097,0,0,13.48387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
